lat,lon,wind_mw,solar_mw
52.0,12.0,443.4669999999998,583.3703309999988
52.0,12.5,247.29099999999997,234.4780310000006
52.0,13.0,841.3222499999995,502.2028019999984
52.0,13.5,807.1600000000003,392.0047249999989
52.0,14.0,580.2074999999999,280.1111890000005
52.0,14.5,439.56649999999996,338.8089289999998
52.0,17.5,0.0,0.6
52.5,6.5,8.2,5.8498600000000005
52.5,7.0,267.1561000000003,408.9808750000018
52.5,7.5,645.9804000000003,666.942846000003
52.5,8.0,505.94150000000076,733.2946020000047
52.5,8.5,407.8036000000004,520.3502610000003
52.5,9.0,571.8286000000007,432.34422399999704
52.5,9.5,340.02710000000013,419.5250579999973
52.5,10.0,496.4744000000007,454.7714600000009
52.5,10.5,252.85199999999983,362.6494329999996
52.5,11.0,322.45180000000005,303.0418329999991
52.5,11.5,483.17380000000065,462.4293999999994
52.5,12.0,699.0456000000003,532.1490819999985
52.5,12.5,86.18999999999996,402.71102699999864
52.5,13.0,432.0612000000004,730.0500669999963
52.5,13.5,412.0212000000002,923.534417000006
52.5,14.0,492.4599999999998,960.2705409999969
52.5,14.5,589.9859999999996,562.7737609999981
52.5,15.5,0.0,0.10235
53.0,4.0,0.0,0.04272
53.0,7.0,405.34479999999996,112.83539599999999
53.0,7.5,851.1678999999997,524.288446999996
53.0,8.0,420.0313000000008,701.1311250000008
53.0,8.5,756.4354999999985,535.5110820000031
53.0,9.0,664.6324999999999,441.9005639999906
53.0,9.5,514.3898000000004,251.01614999999822
53.0,10.0,163.77350000000007,157.06172300000117
53.0,10.5,581.2560000000001,185.02343200000178
53.0,11.0,311.73,257.1209459999997
53.0,11.5,400.75500000000017,193.37750900000003
53.0,12.0,957.2689999999994,474.9672029999989
53.0,12.5,533.9600000000004,634.2336119999995
53.0,13.0,52.2106,245.0713290000005
53.0,13.5,131.70199999999997,536.6935169999983
53.0,14.0,462.7565999999998,168.93642900000012
53.0,14.5,47.6024,31.494215999999966
53.5,6.0,0.0,0.048960000000000004
53.5,6.5,117.00000000000001,4.080726
53.5,7.0,527.7721000000007,90.44479699999998
53.5,7.5,1098.470299999997,302.44252499999925
53.5,8.0,570.9190000000018,452.14063199999714
53.5,8.5,841.5030999999981,249.59320699999904
53.5,9.0,508.15560000000073,173.75689500000072
53.5,9.5,559.9513000000015,393.8667769999953
53.5,10.0,214.84160000000006,548.2624329999987
53.5,10.5,251.32630000000015,377.20338099999327
53.5,11.0,60.38499999999997,269.1981329999984
53.5,11.5,139.25099999999995,479.19376899999094
53.5,12.0,864.4000000000001,469.68733399999934
53.5,12.5,203.7699999999999,374.07335899999913
53.5,13.0,161.5029999999999,308.55281999999977
53.5,13.5,467.1612000000004,434.9388859999987
53.5,14.0,1300.252999999996,324.19231799999955
53.5,14.5,155.02499999999998,43.178065
54.0,6.0,692.9999999999997,0.66
54.0,6.5,1940.1099999999988,0.0
54.0,7.0,1168.4579999999999,0.0
54.0,7.5,0.225,0.7788900000000001
54.0,8.0,110.70000000000003,1.745716
54.0,8.5,111.38679999999994,64.46192900000037
54.0,9.0,2119.437039999986,485.8222980000029
54.0,9.5,1346.4512000000009,561.2578069999939
54.0,10.0,665.2320000000009,597.9012839999946
54.0,10.5,438.3030000000003,291.5010369999953
54.0,11.0,509.54000000000036,176.66285200000073
54.0,11.5,210.40750000000006,176.76098299999984
54.0,12.0,592.3044200000007,306.5530209999991
54.0,12.5,236.8965000000001,241.29682299999973
54.0,13.0,536.2383000000005,446.792876999999
54.0,13.5,476.07,510.52722100000653
54.0,14.0,52.3,95.06472399999997
54.5,5.5,8.4,0.0
54.5,6.0,1809.949999999999,0.0
54.5,6.5,1063.6000000000008,0.0
54.5,7.5,1105.3799999999972,0.0
54.5,8.0,136.62,0.0342
54.5,8.5,59.942799999999984,36.12137099999997
54.5,9.0,2183.3854999999858,407.1022919999996
54.5,9.5,950.6962999999998,744.1296820000001
54.5,10.0,333.19959999999975,329.4446039999963
54.5,10.5,15.35,44.56486199999996
54.5,11.0,447.0400000000005,108.20221300000006
54.5,11.5,23.000000000000004,8.463830000000002
54.5,12.0,0.0,0.036
54.5,12.5,85.99999999999994,141.0670369999999
54.5,13.0,10.955999999999998,96.609479
54.5,13.5,15.379999999999999,83.89198100000021
55.0,7.0,524.9999999999993,0.13
55.0,7.5,39.60000000000001,0.0
55.0,8.0,248.39999999999972,0.0
55.0,8.5,206.10000000000008,49.03374599999995
55.0,9.0,896.6029999999988,255.90163699999988
55.0,9.5,77.51950000000001,88.32498699999992
55.0,10.0,1.8045999999999998,5.153187000000003
55.0,13.0,302.3999999999997,0.0
55.0,13.5,257.17500000000007,0.0576
55.0,14.0,1214.0500000000027,0.09
55.0,15.0,0.0,13.6
55.5,7.0,79.80000000000003,0.0
55.5,14.5,0.0,1.9
56.0,11.5,0.0,6.8
56.5,10.0,0.0,0.09
56.5,11.5,0.0,0.0996
57.0,9.0,0.0,0.29969999999999997
57.5,11.0,0.0,6.72
58.0,8.5,0.0,0.12
59.0,5.0,0.0,0.06
59.0,7.5,0.0,0.094
